"","spp1","spp2","overlap_mean_sp1to2","overlap_mean_sp2to1"
"1798","Palicourea_apicata","Palicourea_deflexa",77.4428,6.4913
"1799","Palicourea_loxensis","Palicourea_deflexa",17.6819,9.6216
"1800","Palicourea_angustifolia","Palicourea_deflexa",61.8225,14.6829
"1801","Palicourea_tetragona","Palicourea_deflexa",96.3264,51.5856
"1802","Palicourea_domingensis","Palicourea_deflexa",92.6866,58.5413
"1803","Palicourea_pubescens","Palicourea_deflexa",87.8635,77.1701
"1804","Palicourea_correae","Palicourea_deflexa",16.5122,79.7414
"1805","Palicourea_elata","Palicourea_deflexa",57.6217,55.5605
"1806","Palicourea_berteroana","Palicourea_deflexa",87.6645,69.189
"1807","Palicourea_petiolaris","Palicourea_deflexa",37.3262,58.4092
"1808","Palicourea_timbiquensis","Palicourea_deflexa",56.4698,5.4759
"1809","Palicourea_acanthacea","Palicourea_deflexa",13.6453,50.4032
"1810","Palicourea_brachiata","Palicourea_deflexa",46.1342,92.4801
"1811","Palicourea_glomerulata","Palicourea_deflexa",90.1308,23.9012
"1812","Palicourea_conephoroides","Palicourea_deflexa",82.6664,55.1319
"1813","Palicourea_tinctoria","Palicourea_deflexa",59.1672,81.0762
"1814","Palicourea_jelskii","Palicourea_deflexa",13.385,32.2711
"1815","Palicourea_allenii","Palicourea_deflexa",58.4957,59.1285
"1816","Palicourea_cyanococca","Palicourea_deflexa",31.375,86.6646
"1817","Palicourea_hazenii","Palicourea_deflexa",29.1885,71.5651
"1818","Palicourea_tomentosa","Palicourea_deflexa",88.3636,71.1483
"1819","Psychotria_rosea","Palicourea_deflexa",96.0211,54.4896
"1820","Psychotria_suterella","Palicourea_deflexa",22.8086,15.8892
"1821","Palicourea_brachypoda","Palicourea_deflexa",8.8813,79.9996
"1822","Palicourea_sessilis","Palicourea_deflexa",29.0529,40.3505
