Iteration	Posterior	Likelihood	Prior	mu	rate[1]	rate[2]	rate[3]	rate[4]	rate[5]	rate[6]	rate[7]	rate[8]	rate[9]	rate[10]	rate[11]	rate[12]
115	-172.9939	-175.6001	2.606213	0.01974467	0.01974467	0.01974467	0.01974467	0.01974467	0.01974467	0.01974467	0.01974467	0.01974467	0.01974467	0.01974467	0.01974467	0.01974467
116	-173.0515	-175.6343	2.58281	0.01997302	0.01997302	0.01997302	0.01997302	0.01997302	0.01997302	0.01997302	0.01997302	0.01997302	0.01997302	0.01997302	0.01997302	0.01997302
117	-173.0515	-175.6343	2.58281	0.01997302	0.01997302	0.01997302	0.01997302	0.01997302	0.01997302	0.01997302	0.01997302	0.01997302	0.01997302	0.01997302	0.01997302	0.01997302
118	-173.0521	-176.1021	3.049969	0.01541459	0.01541459	0.01541459	0.01541459	0.01541459	0.01541459	0.01541459	0.01541459	0.01541459	0.01541459	0.01541459	0.01541459	0.01541459
119	-173.0807	-176.1396	3.058896	0.01532747	0.01532747	0.01532747	0.01532747	0.01532747	0.01532747	0.01532747	0.01532747	0.01532747	0.01532747	0.01532747	0.01532747	0.01532747
120	-172.9856	-175.5954	2.609796	0.0197097	0.0197097	0.0197097	0.0197097	0.0197097	0.0197097	0.0197097	0.0197097	0.0197097	0.0197097	0.0197097	0.0197097	0.0197097
121	-173.3177	-175.8105	2.4928	0.02085132	0.02085132	0.02085132	0.02085132	0.02085132	0.02085132	0.02085132	0.02085132	0.02085132	0.02085132	0.02085132	0.02085132	0.02085132
122	-173.3207	-176.4427	3.121925	0.01471245	0.01471245	0.01471245	0.01471245	0.01471245	0.01471245	0.01471245	0.01471245	0.01471245	0.01471245	0.01471245	0.01471245	0.01471245
123	-172.7606	-175.507	2.746383	0.01837691	0.01837691	0.01837691	0.01837691	0.01837691	0.01837691	0.01837691	0.01837691	0.01837691	0.01837691	0.01837691	0.01837691	0.01837691
124	-172.9323	-175.5662	2.633966	0.01947385	0.01947385	0.01947385	0.01947385	0.01947385	0.01947385	0.01947385	0.01947385	0.01947385	0.01947385	0.01947385	0.01947385	0.01947385
125	-172.7309	-175.5971	2.86615	0.01720824	0.01720824	0.01720824	0.01720824	0.01720824	0.01720824	0.01720824	0.01720824	0.01720824	0.01720824	0.01720824	0.01720824	0.01720824
126	-173.5979	-176.7766	3.178647	0.01415896	0.01415896	0.01415896	0.01415896	0.01415896	0.01415896	0.01415896	0.01415896	0.01415896	0.01415896	0.01415896	0.01415896	0.01415896
127	-173.6981	-176.8946	3.19651	0.01398466	0.01398466	0.01398466	0.01398466	0.01398466	0.01398466	0.01398466	0.01398466	0.01398466	0.01398466	0.01398466	0.01398466	0.01398466
128	-172.9801	-175.5923	2.612171	0.01968652	0.01968652	0.01968652	0.01968652	0.01968652	0.01968652	0.01968652	0.01968652	0.01968652	0.01968652	0.01968652	0.01968652	0.01968652
129	-172.8457	-175.8122	2.966472	0.01622933	0.01622933	0.01622933	0.01622933	0.01622933	0.01622933	0.01622933	0.01622933	0.01622933	0.01622933	0.01622933	0.01622933	0.01622933
130	-172.8457	-175.8122	2.966472	0.01622933	0.01622933	0.01622933	0.01622933	0.01622933	0.01622933	0.01622933	0.01622933	0.01622933	0.01622933	0.01622933	0.01622933	0.01622933
131	-172.7566	-175.5074	2.750818	0.01833364	0.01833364	0.01833364	0.01833364	0.01833364	0.01833364	0.01833364	0.01833364	0.01833364	0.01833364	0.01833364	0.01833364	0.01833364
132	-172.7566	-175.5074	2.750818	0.01833364	0.01833364	0.01833364	0.01833364	0.01833364	0.01833364	0.01833364	0.01833364	0.01833364	0.01833364	0.01833364	0.01833364	0.01833364
133	-173.8723	-176.2225	2.350138	0.02224339	0.02224339	0.02224339	0.02224339	0.02224339	0.02224339	0.02224339	0.02224339	0.02224339	0.02224339	0.02224339	0.02224339	0.02224339
134	-173.681	-176.8746	3.193547	0.01401358	0.01401358	0.01401358	0.01401358	0.01401358	0.01401358	0.01401358	0.01401358	0.01401358	0.01401358	0.01401358	0.01401358	0.01401358
135	-172.7884	-175.509	2.720609	0.01862841	0.01862841	0.01862841	0.01862841	0.01862841	0.01862841	0.01862841	0.01862841	0.01862841	0.01862841	0.01862841	0.01862841	0.01862841
136	-172.7884	-175.509	2.720609	0.01862841	0.01862841	0.01862841	0.01862841	0.01862841	0.01862841	0.01862841	0.01862841	0.01862841	0.01862841	0.01862841	0.01862841	0.01862841
137	-172.7867	-175.5087	2.722019	0.01861465	0.01861465	0.01861465	0.01861465	0.01861465	0.01861465	0.01861465	0.01861465	0.01861465	0.01861465	0.01861465	0.01861465	0.01861465
