,spp1,spp2
428,Palicourea_timbiquensis,Palicourea_winkleri
429,Palicourea_acanthacea,Palicourea_winkleri
430,Palicourea_brachiata,Palicourea_winkleri
431,Palicourea_glomerulata,Palicourea_winkleri
432,Palicourea_conephoroides,Palicourea_winkleri
433,Palicourea_tinctoria,Palicourea_winkleri
434,Palicourea_jelskii,Palicourea_winkleri
435,Palicourea_allenii,Palicourea_winkleri
436,Palicourea_cyanococca,Palicourea_winkleri
437,Palicourea_hazenii,Palicourea_winkleri
438,Palicourea_tomentosa,Palicourea_winkleri
439,Psychotria_rosea,Palicourea_winkleri
440,Psychotria_suterella,Palicourea_winkleri
441,Palicourea_brachypoda,Palicourea_winkleri
442,Palicourea_sessilis,Palicourea_winkleri
443,Palicourea_divaricata,Palicourea_winkleri
444,Palicourea_racemosa,Palicourea_winkleri
445,Palicourea_subfusca,Palicourea_winkleri
446,Palicourea_topoensis,Palicourea_winkleri
447,Palicourea_brevicollis,Palicourea_winkleri
448,Palicourea_dichotoma,Palicourea_dichotoma
449,Palicourea_gracilenta,Palicourea_dichotoma
450,Palicourea_obliquinervia,Palicourea_dichotoma
451,Palicourea_prunifolia,Palicourea_dichotoma
452,Palicourea_callithrix,Palicourea_dichotoma
453,Palicourea_glabra,Palicourea_dichotoma
454,Palicourea_acuminata,Palicourea_dichotoma
455,Palicourea_andina,Palicourea_dichotoma
456,Palicourea_didymocarpos,Palicourea_dichotoma
457,Palicourea_rhodothamna,Palicourea_dichotoma
458,Palicourea_triphylla,Palicourea_dichotoma
459,Palicourea_croceoides,Palicourea_dichotoma
460,Palicourea_crocea,Palicourea_dichotoma
461,Palicourea_lasiantha,Palicourea_dichotoma
462,Palicourea_nitidella,Palicourea_dichotoma
463,Palicourea_macrobotrys,Palicourea_dichotoma
464,Palicourea_guianensis,Palicourea_dichotoma
465,Palicourea_marcgravii,Palicourea_dichotoma
466,Palicourea_grandiflora,Palicourea_dichotoma
467,Palicourea_rigida,Palicourea_dichotoma
468,Palicourea_egensis,Palicourea_dichotoma
469,Palicourea_polycephala,Palicourea_dichotoma
470,Palicourea_deflexa,Palicourea_dichotoma
471,Palicourea_woronovii,Palicourea_dichotoma
472,Palicourea_bangii,Palicourea_dichotoma
473,Palicourea_flavifolia,Palicourea_dichotoma
474,Palicourea_reticulata,Palicourea_dichotoma
475,Palicourea_stipularis,Palicourea_dichotoma
476,Palicourea_flavescens,Palicourea_dichotoma
477,Palicourea_stenosepala,Palicourea_dichotoma
478,Palicourea_lineata,Palicourea_dichotoma
479,Palicourea_padifolia,Palicourea_dichotoma
480,Palicourea_lehmannii,Palicourea_dichotoma
481,Palicourea_thyrsiflora,Palicourea_dichotoma
482,Palicourea_demissa,Palicourea_dichotoma
483,Palicourea_amethystina,Palicourea_dichotoma
484,Palicourea_standleyana,Palicourea_dichotoma
485,Palicourea_seemannii,Palicourea_dichotoma
486,Palicourea_pyramidalis,Palicourea_dichotoma
487,Palicourea_luteonivea,Palicourea_dichotoma
488,Palicourea_sulphurea,Palicourea_dichotoma
489,Palicourea_apicata,Palicourea_dichotoma
490,Palicourea_loxensis,Palicourea_dichotoma
491,Palicourea_angustifolia,Palicourea_dichotoma
492,Palicourea_tetragona,Palicourea_dichotoma
493,Palicourea_domingensis,Palicourea_dichotoma
494,Palicourea_pubescens,Palicourea_dichotoma
495,Palicourea_correae,Palicourea_dichotoma
496,Palicourea_elata,Palicourea_dichotoma
497,Palicourea_berteroana,Palicourea_dichotoma
498,Palicourea_petiolaris,Palicourea_dichotoma
499,Palicourea_timbiquensis,Palicourea_dichotoma
500,Palicourea_acanthacea,Palicourea_dichotoma
501,Palicourea_brachiata,Palicourea_dichotoma
502,Palicourea_glomerulata,Palicourea_dichotoma
